,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
0,0.3,0.9672466734902764,0.8040047114252061,0.6505768465720727,0.49560536145902,0.3923154701718908,0.4096648480124708,0.001,0.001,0.015,1.0501058900837434,550,4,20,0,1039,6,13,0.7,2,0.538986516357206
1,0.2,0.9590583418628454,0.8002355712603062,0.6406312160190956,0.507690617446715,0.38245702730030334,0.41247077162899454,0.0001,0.0001,0.015,1.0508037582798873,250,6,60,0,1013,6,19,0.9,3,0.537632625994695
2,0.3,0.9662231320368475,0.8054181389870436,0.6443442514255404,0.506372225884421,0.38157229524772496,0.41356196414653157,0.001,0.001,0.02,1.0505932452826108,550,7,50,0,705,6,17,0.9,3,0.5388759946949602
3,0.2,0.9570112589559877,0.809658421672556,0.6447420766476595,0.503295978905735,0.39054600606673406,0.40311769290724864,0.01,0.001,0.02,1.050608650748671,550,4,10,0,1012,6,13,0.9,2,0.5385444297082228
4,0.2,0.9570112589559877,0.7992932862190812,0.6500464129425806,0.4994506701823775,0.3866279069767442,0.4077942322681216,0.01,0.0001,0.015,1.0505876993523071,550,4,20,0,996,6,14,0.7,3,0.5374392130857648
5,0.3,0.9641760491299898,0.8025912838633686,0.6465985943508819,0.5018677213799165,0.3915571284125379,0.40810600155884647,0.001,0.001,0.02,1.0502851039445513,450,5,60,0,715,6,13,0.7,1,0.5390417771883289
6,0.2,0.9713408393039918,0.8044758539458187,0.6431507757591831,0.501977587343441,0.3859959555106168,0.4146531566640686,0.01,0.0001,0.03,1.0510776504486228,250,4,60,0,1004,6,5,0.7,1,0.5387102122015915
7,0.25,0.9672466734902764,0.8025912838633686,0.6489855456835963,0.4985717424741815,0.3883973710819009,0.4088854247856586,0.001,0.01,0.02,1.0504237953921935,550,4,50,0,991,6,12,0.9,2,0.5382404951370469
8,0.2,0.962128966223132,0.8089517078916372,0.6398355655748574,0.507031421665568,0.3889029322548028,0.4098207326578332,0.0001,0.0001,0.015,1.0506161634221178,550,6,50,0,1170,6,13,0.9,1,0.5393457117595049
9,0.3,0.9662231320368475,0.7952885747938752,0.6585333510144543,0.4950560316413975,0.3889029322548028,0.4054559625876851,0.001,0.001,0.02,1.0513958330205986,550,4,40,0,596,6,10,0.7,1,0.5379641909814323
10,0.3,0.9631525076765609,0.8082449941107185,0.6480572868319852,0.5018677213799165,0.38827098078867545,0.40904130943102107,0.0001,0.01,0.015,1.050189431348638,550,5,50,0,1062,6,13,0.9,3,0.5394286030061892
11,0.25,0.962128966223132,0.809658421672556,0.6402333907969765,0.5075807514831905,0.3789180990899899,0.42026500389711613,0.01,0.01,0.02,1.050368978147675,250,6,40,0,868,6,17,0.8,3,0.5393180813439434
12,0.3,0.9651995905834186,0.8011778563015313,0.6444768598329134,0.5056031641397495,0.39004044489383216,0.40795011691348404,0.01,0.001,0.03,1.0505638992309643,350,5,50,0,480,6,13,0.7,1,0.5390417771883289
13,0.25,0.9651995905834186,0.8047114252061248,0.6459355523140167,0.504614370468029,0.38827098078867545,0.40872954014029617,0.001,0.01,0.02,1.0500398033924356,450,5,20,0,783,6,19,0.9,1,0.5392628205128205
